"filename", "language", "JavaScript", "XML", "JSON", "SQL", "Log", "YAML", "CSS", "Markdown", "Docker", "HTML", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/public/manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/public/reset.css", "CSS", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 4, 92
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/allimages/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 2, 8, 53
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/app_url.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/core.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 6, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/database.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 6, 32
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/header_config.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 3, 15
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 16, 22, 116
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/login.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 18, 18, 106
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/marker.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 4, 14, 71
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/popup_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 18, 27, 167
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/register.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 8, 51
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/station.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 11, 47
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/insert_default_data.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 18, 14, 172
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/jwt.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 7, 39
