"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "XML", "JSON", "YAML", "SQL", "HTML", "Markdown", "Docker", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/allimages/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 2, 8, 53
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/app_url.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 13, 56
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/core.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 6, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/database.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 7, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/config/header_config.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 3, 15
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/details.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 8, 29
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 16, 22, 116
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/login.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 18, 18, 105
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/marker.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 4, 14, 71
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/popup_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 18, 27, 167
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/register.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 8, 50
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/controller/station.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 11, 47
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/details/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 2, 11, 73
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/embed/iframeinit.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/embed/iframeresize.js", "JavaScript", 0, 1199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 202, 1441
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/embed/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/insert_default_data.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 18, 14, 172
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/jwt.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 7, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/validateRequest.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 8, 47
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/image/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 12, 9, 93
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 8
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/BeforeValidException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/ExpiredException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/JWT.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 120, 21, 342
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/SignatureInvalidException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php_image_magician.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2363, 320, 612, 3295
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/Valitron/Validator.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 820, 596, 161, 1577
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ar.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/az.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/bg.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/de.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/el.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/en.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 43
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/es.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 2, 38
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fi.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fr.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/id.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/it.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ja.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ko.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lt.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lv.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 33
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nb.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 1, 0, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nn.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/no.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
