"filename", "language", "JavaScript", "JSON", "CSS", "SQL", "YAML", "Log", "XML", "Markdown", "HTML", "PHP", "Docker", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php_image_magician.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2363, 0, 320, 612, 3295
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/Valitron/Validator.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 820, 0, 596, 161, 1577
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ar.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/az.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/bg.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/de.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/el.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/en.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 43
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/es.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fi.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fr.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 41
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/id.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/it.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ja.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ko.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lt.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lv.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
